pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2012000117,1,1,2,5000,1103,,9999,,,,,,20,2012,8,2,1,4,5,5,9,3,1,9,0,3,1,1,0,3,3,,1,1,9,9,9,3,3,9,5,51,511,0,12,3,178374,663359
2012000119,1,1,1,5000,510,618,,8000336,,,,,20,2012,8,13,1,4,5,2,1,3,1,8,3,0,1,1,3,3,6,2,1,1,9,9,9,0,0,9,5,51,511,0,12,1,178291,665009
2012000122,1,1,2,2730,0,,9999,,,,,,51,2012,8,15,1,4,5,4,9,3,1,8,3,0,1,1,2,3,3,,1,1,9,9,6,0,0,9,4,41,412,0,26,2,200163,685441
2012000123,1,1,2,6100,228,,10,,,,,,20,2012,8,15,1,4,5,4,9,3,1,9,1,0,1,1,0,3,6,,1,1,9,9,9,3,3,2,5,51,512,0,14,1,184620,665967
2012000126,1,1,2,4000,1161,,53,,,,,,11,2012,8,21,1,4,5,3,9,2,1,9,3,0,1,1,2,3,6,,1,1,9,9,9,0,0,9,3,31,311,0,13,1,197890,748433
2012000127,1,1,2,6700,111,,3,,,,,,14,2012,8,21,1,4,5,3,9,3,1,9,0,3,1,1,2,3,3,,1,1,9,9,9,0,0,9,2,22,221,0,16,1,249802,744839
2012000129,1,1,2,7700,302,,19,,,,,,14,2012,8,27,1,4,5,2,9,3,1,8,3,0,1,1,5,3,3,,1,1,9,9,9,0,0,9,2,23,234,0,16,1,227287,724247
2012000130,1,1,1,5000,510,403,,40312,,,,,20,2012,8,27,1,4,5,2,1,3,1,9,2,0,1,1,0,3,6,2,1,1,9,9,9,3,4,1,5,51,511,0,12,1,178955,666904
2012000133,1,1,2,5000,829,,107,,,,,,20,2012,8,31,1,4,5,6,9,3,1,8,1,0,1,1,2,3,6,7,1,1,9,9,9,0,0,9,5,51,511,0,12,1,180354,666657
2012000136,1,1,1,6600,201,306,,10540021,,,,,20,2012,9,13,1,4,5,5,9,3,1,9,3,0,1,1,2,3,6,7,1,1,9,9,9,3,3,2,5,51,513,0,14,1,180535,658105
2012000137,1,1,1,6600,725,632,,8080043,,,,,20,2012,9,16,1,2,5,1,1,3,1,9,0,2,1,1,2,3,6,2,1,1,9,9,9,3,4,2,5,51,513,0,14,1,177784,658992
2012000139,1,2,2,3616,141,,9999,,,,,,43,2012,9,23,1,4,5,1,9,3,1,8,0,2,1,1,3,3,4,,1,1,9,9,9,0,0,9,7,77,777,0,16,3,231939,632620
2012000141,1,1,1,6600,750,748,,100051,,,,,20,2012,9,24,1,4,5,2,9,3,1,9,3,0,1,1,2,3,6,7,1,1,9,9,7,0,0,9,5,51,513,0,14,1,177790,658723
2012000146,1,1,1,6100,503,518,,7930014,,,,,20,2012,10,3,1,3,5,4,0,3,1,9,1,0,1,1,3,3,3,7,1,1,9,9,9,3,3,1,5,51,512,0,14,1,184423,666612
2012000148,1,1,2,7100,653,,9999,,,,,,38,2012,9,19,1,4,5,4,9,2,1,8,0,1,2,1,4,5,6,7,1,1,9,9,7,0,0,9,6,61,614,0,14,3,159900,618923
2012000151,1,2,2,3797,230,,1,,,,,,43,2012,9,30,1,2,5,1,9,3,1,8,3,0,1,1,2,5,6,,1,1,9,9,9,1,2,9,7,77,777,99,16,3,203992,649252
2012000155,1,1,2,6100,217,,12,,,,,,20,2012,10,23,1,4,5,3,9,3,1,8,1,0,1,1,2,3,6,7,1,1,9,9,9,0,0,9,5,51,512,0,14,1,184942,666774
2012000157,1,1,1,6600,505,501,,60034,,,,,20,2012,10,29,1,4,5,2,0,2,1,9,0,2,1,1,2,3,6,6,1,1,9,9,9,3,3,1,5,51,513,0,14,1,178742,659482
2012000158,1,1,2,5000,1241,,9999,,,,,,20,2012,10,29,1,4,5,2,9,3,1,9,9,0,0,1,0,5,6,,9,9,9,9,9,0,0,9,5,51,511,0,12,3,178324,663712
2012000159,1,1,1,4000,512,399,,180233,,,,,11,2012,10,29,1,4,5,2,1,3,1,8,3,0,1,1,4,3,3,2,1,1,9,9,9,0,0,9,3,31,311,0,13,1,199353,747141
