Elders,Adults,Teen,x,y
0.287651677,0.48608137,0.226266952,213745.6115,723854.7934
0.157894737,0.422697368,0.419407895,218165.2405,728007.6678
0.268700787,0.420275591,0.311023622,220180.9381,731178.9668
0.238599349,0.450325733,0.311074919,221360.102,731476.4469
0.1968,0.4352,0.368,219309.6059,731525.4076
0.326530612,0.456632653,0.216836735,200963.4887,707695.4983
0.198019802,0.478547855,0.323432343,214543.1664,732087.876
0.276119403,0.475124378,0.248756219,225151.8273,716541.3781
0.151515152,0.415059688,0.433425161,213517.9942,733748.5279
0.312827225,0.497382199,0.189790576,254066.9752,732757.5142
0.234042553,0.428805237,0.337152209,181022.9149,642884.4357
0.261971831,0.498591549,0.23943662,223284.2047,718293.713
0.300613497,0.395705521,0.303680982,225102.6812,717593.6474
0.235818766,0.468783446,0.295397788,181272.5998,641718.5331
0.166328453,0.500579794,0.333091752,192480.4567,684407.1162
0.185840708,0.450522928,0.363636364,173492.7045,626674.3107
0.051886792,0.70754717,0.240566038,178186.3045,647019.738
0.19030303,0.466666667,0.343030303,193770.5858,685704.5698
0.232620321,0.474331551,0.293048128,186699.7218,643422.6436
0.282420749,0.461095101,0.25648415,178543.2918,648784.8714
0.140381282,0.413344887,0.44627383,188995.6593,637631.8521
0.18869258,0.46360424,0.34770318,192245.8327,682938.0707
0.24504084,0.501750292,0.253208868,177480.708,624750.0767
0.197530864,0.496296296,0.30617284,222531.6357,718846.0954
0.176296296,0.416296296,0.407407407,223365.0561,719558.6515
0.159417299,0.506685375,0.333897326,173197.8992,633415.377
0.316348195,0.418259023,0.265392781,194577.5411,699167.7274
0.180084746,0.48470339,0.335211864,193789.3813,691409.4079
0.190743338,0.464235624,0.345021038,196962.9275,686733.4737
0.25015015,0.494594595,0.255255255,191662.2182,690309.863
0.281585467,0.463253509,0.255161024,193761.9674,699787.1589
0.183080808,0.506313131,0.310606061,178757.7873,650271.8746
0.268172195,0.428369795,0.30345801,188164.1043,695191.485
0.327389444,0.455777461,0.216833096,254519.1126,731863.7957
0.25,0.478040541,0.271959459,183653.1644,642294.2939
0.235945486,0.499148211,0.264906303,211763.332,744232.1214
0.218371121,0.459346531,0.322282348,189481.6015,686635.7491
0.240694789,0.521091811,0.2382134,190485.8284,672408.2633
0.277507303,0.407984421,0.314508277,194333.024,680486.9218
0.22265625,0.59765625,0.1796875,187195.6558,697636.8247
0.190921228,0.502670227,0.306408545,193932.1679,683575.7691
0.292151163,0.466569767,0.24127907,254830.3077,730186.501
0.172465961,0.388804841,0.438729198,200481.4112,710036.2654
0.211345382,0.488955823,0.299698795,188732.7636,698566.2775
0.190298507,0.432835821,0.376865672,190944.1352,695074.9764
0.245467225,0.439330544,0.315202232,225920.4084,733968.5367
0.255775578,0.438943894,0.305280528,190827.5496,695629.4416
0.261813538,0.446998723,0.291187739,191238.2617,695860.5688
0.176101732,0.492172769,0.331725499,192057.2281,687138.921
0.265789474,0.421052632,0.313157895,181187.7809,644051.4592
0.312912347,0.413760603,0.27332705,191285.1549,696668.4147
0.218864469,0.476190476,0.304945055,192837.3305,677588.529
0.198388721,0.460221551,0.341389728,254729.0324,729408.6454
0.291970803,0.464720195,0.243309002,187357.4614,698496.0667
0.313609467,0.399408284,0.286982249,178749.2632,647749.7013
0.20979021,0.444755245,0.345454545,191699.2124,698382.4035
0.140703518,0.47361809,0.385678392,193210.0732,699288.317
0.252427184,0.446601942,0.300970874,189190.0576,674771.0168
0.295673077,0.427884615,0.276442308,188669.0234,675076.5036
0.362098139,0.416243655,0.221658206,214991.9194,633465.4712
0.050359712,0.45323741,0.496402878,197450.3588,736105.4171
0.126843658,0.445427729,0.427728614,198757.3537,710412.5141
0.169146437,0.395458105,0.435395458,191856.0142,699606.6048
0.344322344,0.428571429,0.227106227,190962.3878,673110.2989
0.218611521,0.429837518,0.35155096,192016.8409,700452.1966
0.263313609,0.433431953,0.303254438,208417.0572,747322.2365
