lon,lat,s
35.20779127,32.70047796,4.00
34.80264475,32.16391198,32.00
34.80330414,32.16826967,29.00
34.80320006,32.16782746,83.00
34.82714633,32.16352752,48.00
34.83747807,32.16204293,90.00
34.84258709,32.1649253,73.00
34.80795166,32.16248588,18.00
34.80940756,32.16166982,31.00
34.80611495,32.16310234,32.00
34.82614715,31.25742418,68.00
34.75762975,31.62584687,20.00
34.9470872,32.59222444,75.00
34.91283797,32.46504161,32.00
34.90319313,32.39391633,65.00
34.90876372,32.37392868,45.00
34.86915037,32.32492737,12.00
34.8747389,32.32429283,57.00
34.98681226,32.82731145,47.00
35.06240228,32.80754677,38.00
35.0773789,32.81759873,55.00
35.09023097,32.90469607,39.00
35.0970547,32.91893063,9.00
35.09071572,32.95187228,45.00
35.09403918,32.97971889,71.00
35.25403116,33.02453475,18.00
35.16650971,32.84901835,55.00
34.98496274,32.31228679,39.00
34.9991713,32.31201313,40.00
35.41789973,32.92212188,7.00
35.36851556,32.93245751,47.00
34.9640673,31.94776346,1.00
34.9703937,32.71058405,67.00
34.90304073,32.06400218,83.00
34.90555135,32.04747817,15.00
34.90475672,32.05088509,22.00
34.82407723,32.12395714,62.00
34.82739999,32.10704957,5.00
34.81832568,32.11832161,16.00
34.60974504,31.68038213,64.00
34.70737088,31.69994599,81.00
34.87018967,32.09628515,32.00
34.8856967,32.07553879,39.00
34.79708764,32.08087597,28.00
34.90440363,32.32349216,100.00
34.86904309,32.09115994,80.00
35.20578349,31.73137952,80.00
35.31189949,31.79957683,11.00
35.32469366,31.80444435,77.00
34.89220551,32.10498952,3.00
35.53983388,32.78668303,56.00
35.51787901,32.79669456,84.00
35.53391131,32.79299255,68.00
35.20457003,31.76697543,25.00
35.19460512,31.76688486,7.00
34.96708956,32.79018899,3.00
34.98693141,32.77841281,6.00
34.86002022,32.07356881,69.00
34.94186478,31.963393,15.00
34.91999072,32.48038755,97.00
35.39427571,32.55103672,10.00
34.85991707,32.28679409,31.00
34.85771761,32.28732011,76.00
34.85516776,32.28785413,99.00
34.8582414,32.32824343,85.00
34.85691205,32.32870869,65.00
34.85769419,32.32691634,96.00
34.85776203,32.31747512,77.00
34.81667764,31.88334299,19.00
34.82054405,31.88380563,4.00
34.78127107,32.08150949,76.00
34.78003054,32.07949435,1.00
34.77233952,32.07980201,81.00
35.17762151,32.87703667,89.00
35.18181688,32.8930424,36.00
35.16662182,32.91193797,70.00
34.85755755,32.18423826,18.00
34.85386389,32.18515691,71.00
34.85443851,32.18740393,9.00
34.81846958,32.17974237,42.00
34.83977127,32.1771724,44.00
34.85155558,32.17604253,23.00
34.86135691,32.18339194,50.00
34.88383964,32.19167516,22.00
34.8634333,32.19244239,17.00
34.87561541,32.19617194,97.00
34.87509976,32.19506141,76.00
34.87953545,32.17936391,70.00
34.87468489,32.19247223,94.00
34.88444745,32.19678076,28.00
34.84857384,32.17391499,54.00
34.87589158,32.3109498,38.00
34.87018525,32.31208005,35.00
34.86017146,32.31217035,24.00
35.07956926,32.82431854,6.00
34.86297536,32.28654088,78.00
34.85730683,32.27253906,66.00
34.78346299,32.04696916,30.00
34.77147026,32.05074334,35.00
34.76360176,32.04881344,41.00
34.78470122,31.7606472,13.00
34.88485084,31.9226085,8.00
34.92559735,32.32131343,58.00
34.8968185,32.28335448,19.00
34.88104845,32.19228126,36.00
34.88026966,32.19658074,8.00
34.90415256,32.18696364,71.00
34.85810706,32.12588545,6.00
34.85631594,32.32351292,16.00
34.8508363,32.32616689,20.00
34.88263257,32.32347458,93.00
34.88125453,32.17898055,57.00
34.84859667,32.17622361,64.00
34.88407906,32.19295629,5.00
34.8843182,32.19431858,24.00
34.86431777,32.18274164,70.00
34.86716146,32.18222622,40.00
34.87215978,32.18112125,21.00
34.85536098,32.31222026,74.00
34.85494292,32.31047871,64.00
34.94339987,32.47881515,98.00
34.91380799,32.43789241,47.00
34.9111999,32.44207045,42.00
34.91486139,32.44100585,4.00
34.91810753,32.44011153,37.00
34.94334071,32.44771398,70.00
34.95698518,32.44762431,98.00
34.99404886,32.46505928,28.00
34.79260388,32.10288314,65.00
34.78329022,32.09852394,3.00
34.78177017,32.10193664,86.00
34.79835794,32.09061938,45.00
34.7801221,32.07572518,14.00
34.87328504,32.19247759,100.00
34.82986969,31.79403867,5.00
35.00852974,29.53417138,84.00
34.88437429,32.17829411,48.00
34.88829977,32.17762765,53.00
34.85516093,32.18983171,86.00
34.87044061,32.18150449,17.00
34.91405071,32.46499031,31.00
34.79457015,32.12280996,64.00
34.94401373,32.06761003,27.00
34.94445508,32.06882836,92.00
34.81837804,32.16122859,75.00
34.81044849,32.16612785,19.00
34.81160545,32.16580681,40.00
34.83002238,32.17832524,6.00
34.82164839,32.11686179,66.00
34.82543526,32.1158722,96.00
34.83660747,32.14125433,37.00
34.8249859,32.12203907,79.00
34.84261356,32.16091246,32.00
34.84242375,32.15529382,66.00
34.87786653,32.19241736,94.00
34.88245009,32.18574694,71.00
