ped,year,x,y
0.153846154,2009,209407.525,749073.2659
0.263888889,2009,207045.023,750441.7036
0.137614679,2009,189170.0528,672983.6101
0.125,2009,195299.4524,713965.2371
0.1,2010,251056.6139,763501.3077
0.1,2010,185249.3083,639415.0948
0.238095238,2010,163796.0529,579871.3594
0.2,2010,194965.9749,733200.043
0.12793177,2010,167582.8805,635675.818
0.111111111,2010,192480.4567,684407.1162
0.033333333,2010,173197.8992,633415.377
0.136363636,2010,193789.3813,691409.4079
0.0625,2010,189481.6015,686635.7491
0.066666667,2010,192057.2281,687138.921
0.166666667,2010,188390.2327,663143.6488
0.176470588,2010,210054.2295,729138.0086
0.271186441,2010,160457.8459,592170.0098
0.166666667,2010,183287.8371,677054.8301
0,2010,188437.1736,687179.7648
0.25,2010,183680.172,656296.0917
0.285714286,2010,183172.234,641066.4667
0.090909091,2010,210534.3263,634813.9596
0.052631579,2010,216186.6566,762891.9453
0.142857143,2010,230532.1016,731813.4439
0.095238095,2010,238961.93,754631.5461
0.5,2010,234847.6576,745917.4556
0,2010,217247.3271,760702.7561
0.041666667,2010,235172.6575,733041.7111
0.230769231,2010,234775.6209,751882.9747
0.12,2010,205114.7589,733223.1475
0.153846154,2010,226046.4249,732145.6787
0.11627907,2010,219146.3886,762117.0998
0.055555556,2010,219710.219,753010.6368
0.017241379,2010,215528.6721,762047.8286
0.033333333,2010,232340.1829,739237.707
0.25,2010,224991.2982,745985.5534
0.125,2010,224843.8341,735939.3819
0.113636364,2010,224263.7874,758418.507
0.5,2010,230244.8714,760042.0006
0.083333333,2010,218209.5981,747702.9541
0,2010,238039.1012,748962.1562
0.25,2010,231930.187,750705.8176
0,2010,195940.4572,722648.1341
0.071428571,2010,222939.5286,754909.8695
0.625,2010,191932.2477,715881.5537
0.076923077,2010,229724.1431,736118.36
0.25,2010,234657.9896,760394.3696
0.277777778,2010,181867.5257,659050.8326
0,2010,195924.5816,673075.2219
0,2010,197396.0549,670882.8685
0.108695652,2010,197056.5835,669377.863
0.238095238,2010,209237.5569,711628.0992
0.047619048,2010,198261.0333,688411.176
0,2010,204928.3823,712312.9808
0,2010,185279.8773,574781.8654
0.322580645,2010,186075.0373,664914.1637
0,2010,195276.407,663147.693
0.259259259,2010,223062.4398,731638.8091
0.4,2010,255953.3204,763666.7383
0.125,2010,221258.3241,735858.6397
0.125,2010,213484.9019,633641.3781
0.181818182,2010,192736.1735,712855.8218
0.068965517,2010,161853.6833,603953.7757
0.333333333,2010,175960.9805,626640.5975
0.25,2010,186825.9903,573009.0864
0.136986301,2010,230795.1149,734451.6386
0.12,2010,226247.7155,768737.2069
0.1,2010,177411.3946,633029.8046
0.208333333,2010,227276.1034,757321.7084
0.24137931,2010,176773.2174,588617.2577
0.058823529,2010,192079.4112,711223.4433
0.043478261,2010,200207.991,645701.6199
0.357142857,2010,184634.6097,567181.8731
0.153846154,2010,203677.2981,696698.8723
0.070588235,2010,213374.6999,759652.9886
0.428571429,2010,228628.6452,763251.881
0.6,2010,194983.8805,656155.4612
0.185185185,2010,196084.9638,661964.4267
0.142857143,2010,209002.2049,708738.6726
0,2010,251316.8213,765400.7463
0.333333333,2010,197358.8695,741270.2953
0.266666667,2010,202602.1187,553029.9717
0.086956522,2010,212129.6086,735221.4453
0.144927536,2010,186588.3236,659471.3286
0.058823529,2010,204344.9586,741703.4878
0.1875,2010,184930.6173,649631.406
0.1875,2010,179217.7094,635457.1174
0.333333333,2010,220151.0134,573794.5091
0.154545455,2010,193982.2397,384601.1613
0.213333333,2010,199782.6636,624450.9704
0.247311828,2010,186798.4471,662934.9997
0.1,2010,177362.0581,613281.6054
0.088709677,2010,196550.4375,666814.9584
0.089552239,2010,184507.9311,671981.2669
0.106060606,2010,175078.9669,643145.1924
0.333333333,2010,214214.9183,714102.0366
0.028571429,2010,196099.0598,682303.3879
0.018348624,2010,200706.3096,685368.4038
0.188405797,2010,253643.3399,790131.3797
0.159878419,2010,220183.7413,632033.9331
0.114754098,2010,216862.7944,668104.2558
0.432432432,2010,229773.99,632377.0976
0,2010,209242.4882,675419.0131
0.055555556,2010,215340.4011,641077.3407
0.2,2010,201590.9217,675174.4031
0.464285714,2010,210802.9693,622871.3749
0.333333333,2010,204437.4911,648815.6846
0.150994575,2010,198947.2387,744928.038
0.5,2010,265389.4708,766057.7314
0,2010,272000.9949,796891.5243
0.163715073,2010,180489.6796,665757.436
0.12,2010,204103.4231,702912.7022
0.35620915,2010,184664.9222,666370.5283
