x,y,trafiic_signal
176090,658890,1
176066,659228,1
175870,659136,1
176789,658072,1
181741,646445,1
180020,654727,1
179806,654131,1
178641,654383,1
225936,768988,1
226203,768848,1
227936,767773,1
234706,759800,1
228698,734574,1
227932,733736,1
228192,733638,1
228254,733382,1
227588,731128,1
205421,747108,1
206597,746313,1
207278,746718,1
199536,746677,1
199964,747173,1
199623,747675,1
200638,746707,1
182775,651505,1
182591,651272,1
181929,650921,1
181938,652139,1
195873,667641,1
194915,666915,1
180292,645047,1
180780,644766,1
182079,663748,1
182624,664934,1
215637,760740,1
171567,617166,1
167199,621286,1
181993,665696,1
181648,666182,1
181601,665759,1
179192,665555,1
179030,665660,1
178839,665761,1
178673,665817,1
179386,665004,1
178941,664603,1
180299,668855,1
197165,720983,1
186300,675103,1
197622,679181,1
198362,680810,1
198693,682058,1
198993,690953,1
200114,747088,1
179111,665978,1
178764,664708,1
178598,664807,1
166902,633323,1
167313,633165,1
175135,643894,1
178564,663471,1
180883,668909,1
184938,672537,1
183611,670008,1
202747,647071,1
185320,675984,1
186209,675554,1
201819,552312,1
191433,659101,1
186965,658588,1
181952,645684,1
172321,636841,1
190646,655217,1
185398,687737,1
227647,723805,1
227794,724026,1
184480,671198,1
239565,732864,1
179559,665850,1
179566,664276,1
178391,664936,1
181781,658730,1
179808,657372,1
182052,658415,1
179502,665614,1
188662,665820,1
187033,665964,1
186986,665483,1
188648,665425,1
187331,666514,1
188643,666587,1
186850,667012,1
187959,667392,1
187647,667290,1
187761,667891,1
187729,668654,1
178113,664765,1
178035,664775,1
181787,674044,1
181736,674082,1
181329,668180,1
184570,674389,1
188239,676411,1
181131,666257,1
185692,666612,1
180890,665480,1
182678,668338,1
180745,666863,1
180055,666461,1
180003,666461,1
180566,665955,1
219612,630246,1
218940,631940,1
220153,632582,1
193082,691974,1
181591,665585,1
182895,666746,1
168023,618047,1
182515,668130,1
182838,668674,1
181487,667659,1
181690,661471,1
185559,674128,1
182559,661873,1
180498,661648,1
186886,659249,1
183683,669546,1
183415,668163,1
186684,666612,1
180270,662964,1
200748,645170,1
199910,643051,1
199909,642960,1
177721,617809,1
174527,617009,1
172204,617066,1
183535,633265,1
182901,643071,1
220872,633091,1
220928,633174,1
200724,644968,1
183950,674853,1
184007,675077,1
179295,665212,1
186367,686815,1
186630,686625,1
180208,668007,1
180259,668623,1
180449,669768,1
188629,674362,1
188690,674363,1
190938,665504,1
190505,667660,1
190849,667092,1
186316,687470,1
186050,687169,1
185365,689821,1
188264,684683,1
186369,689341,1
197615,628286,1
186313,692410,1
195912,644736,1
177640,663369,1
178679,663120,1
178091,664615,1
212476,735223,1
178303,663606,1
177066,662410,1
177557,663126,1
201385,646282,1
183918,643164,1
186131,667486,1
188478,667042,1
187999,666468,1
188502,667922,1
176069,658290,1
177918,658013,1
178395,657905,1
178880,657825,1
179822,657559,1
179901,658859,1
179738,659146,1
179284,659491,1
179071,659532,1
178745,656891,1
179135,656920,1
180275,656922,1
178214,656912,1
178503,656877,1
179769,656951,1
179739,658111,1
180899,658963,1
180474,658620,1
180076,658407,1
181004,659506,1
182072,657994,1
184964,575366,1
186509,661879,1
184094,675845,1
186935,692730,1
183207,663180,1
183264,663000,1
177118,662459,1
177857,662823,1
177024,661528,1
191824,705964,1
180566,664478,1
176424,658199,1
191531,694587,1
183735,668617,1
182947,642807,1
185590,675962,1
190216,673631,1
190190,674006,1
195082,672491,1
194264,670093,1
189929,675794,1
189845,675721,1
189996,675689,1
189533,677544,1
192250,678453,1
201976,743412,1
201597,743073,1
201101,741788,1
201173,742290,1
200493,745883,1
203642,744103,1
208906,750242,1
209396,758390,1
253474,788963,1
202240,743218,1
199054,743892,1
196801,746830,1
196229,746481,1
202056,701992,1
184500,665219,1
184628,665580,1
184689,668459,1
184536,669545,1
185513,663570,1
185966,663880,1
184448,665894,1
184822,665072,1
183108,666897,1
180138,664516,1
179949,664077,1
178491,664064,1
178955,663521,1
178790,663450,1
178755,663545,1
178716,663665,1
178723,664339,1
178449,663781,1
178247,663652,1
178394,663572,1
178019,664400,1
178181,664347,1
178425,664240,1
178363,664366,1
177992,664330,1
183492,674475,1
177128,626749,1
180922,664909,1
194248,666875,1
194295,666844,1
195623,665678,1
190171,674404,1
194397,668935,1
183822,669546,1
181466,672116,1
193425,676193,1
194136,675802,1
191792,675726,1
192056,675654,1
194119,668119,1
176360,659280,1
176222,658995,1
175843,658467,1
187487,661415,1
176941,658112,1
175918,658562,1
177776,658972,1
177574,658977,1
177503,658993,1
195349,709499,1
177166,661010,1
196603,706157,1
198953,707224,1
206176,711473,1
168569,630580,1
166183,633645,1
202592,709699,1
211520,713349,1
176949,659012,1
176946,658834,1
192310,678526,1
159992,620537,1
158563,619214,1
163035,620547,1
161111,620387,1
160695,620272,1
192626,676679,1
190912,675627,1
190677,692260,1
201539,742814,1
201371,742662,1
201313,742146,1
214112,715447,1
191771,705947,1
191776,671337,1
182139,650532,1
184399,664666,1
183658,665530,1
199196,748064,1
193489,711878,1
191628,706400,1
194004,675920,1
190865,676813,1
190098,675974,1
176494,642910,1
176119,642986,1
190509,676075,1
175607,643423,1
178502,662742,1
182824,644804,1
182287,644673,1
187353,667752,1
178642,636313,1
181991,643730,1
181842,643960,1
182211,645000,1
180982,644864,1
182035,645514,1
176420,642688,1
175847,641953,1
175130,633761,1
184382,643742,1
178943,644069,1
221129,629266,1
180329,669126,1
177301,661437,1
178214,661418,1
181411,664737,1
181352,664564,1
183117,663290,1
184664,662324,1
185094,660436,1
185674,660340,1
183965,670611,1
197663,628380,1
176747,611797,1
201155,743004,1
167913,635541,1
168636,633492,1
168191,631880,1
199341,747134,1
200170,746322,1
200272,746444,1
201219,745528,1
201617,745119,1
204984,741468,1
189334,649502,1
174944,644003,1
182204,669602,1
182337,669571,1
169149,632495,1
165559,625877,1
162765,619415,1
158610,610856,1
184024,667144,1
184107,667015,1
178363,665169,1
178436,664906,1
178552,664195,1
180204,663575,1
180048,663612,1
181889,667770,1
182861,668980,1
182739,669545,1
227623,728257,1
203312,741199,1
204852,741376,1
168936,637383,1
232553,727266,1
226354,757394,1
183126,669686,1
182582,669550,1
200950,645063,1
213701,769047,1
183666,668996,1
183780,668492,1
183522,669236,1
183670,669053,1
184044,669552,1
183188,669760,1
183661,668819,1
198801,745282,1
200455,744936,1
200150,745567,1
193434,675239,1
192565,675515,1
192355,676775,1
190996,675943,1
191289,675863,1
233233,727683,1
196703,706194,1
202286,705546,1
202061,706350,1
166940,635065,1
167706,635174,1
159360,619660,1
220790,632923,1
222093,635394,1
192324,675581,1
183132,676287,1
159664,619744,1
161060,618829,1
184707,654033,1
192193,675616,1
249938,744719,1
249474,744619,1
250517,744173,1
212742,620428,1
208289,603809,1
208478,603785,1
209599,607704,1
224385,681318,1
225023,680905,1
209292,606178,1
224482,680961,1
224575,681073,1
209376,606714,1
225859,680296,1
225509,680501,1
224238,681402,1
224653,681174,1
208500,604351,1
208531,604586,1
219737,646409,1
212658,668797,1
196811,743406,1
196898,748289,1
199150,748000,1
199430,746882,1
198937,743591,1
198940,743645,1
198836,747728,1
201248,742629,1
209036,761461,1
180754,667816,1
177480,662961,1
184142,670830,1
184804,672228,1
185165,671578,1
191898,700024,1
191611,695999,1
184315,666740,1
184415,666614,1
185126,666648,1
185140,666942,1
181144,663820,1
179374,667316,1
179291,667302,1
186351,666626,1
187091,666348,1
186891,666370,1
180487,662669,1
181992,645603,1
181078,648520,1
182167,645184,1
182695,645314,1
182249,644819,1
181088,645158,1
184444,667500,1
166266,634793,1
167005,634411,1
178452,652658,1
179788,652912,1
179305,653101,1
179179,653926,1
178869,653315,1
183911,662891,1
179265,651309,1
182325,644501,1
200225,644578,1
179104,643946,1
201646,741321,1
198818,744708,1
200955,741731,1
183511,669962,1
200255,742509,1
203773,709883,1
203227,709795,1
198870,744998,1
200956,741653,1
204193,740863,1
239556,732163,1
214915,757538,1
199681,743684,1
199944,743589,1
201410,743741,1
200448,743749,1
224910,769515,1
212007,757860,1
177882,663999,1
178925,663597,1
178521,663596,1
183176,669406,1
206161,748105,1
196669,740677,1
183922,663029,1
226113,737253,1
196850,742013,1
200120,746388,1
200079,746331,1
198849,744645,1
199169,744593,1
201131,743083,1
199032,743949,1
180731,668877,1
228749,734579,1
218016,626436,1
182002,666206,1
196370,746525,1
178562,661104,1
178506,661166,1
221559,637375,1
190397,698203,1
220319,628086,1
219868,640519,1
225083,769393,1
216330,768963,1
167279,635676,1
167796,635329,1
167909,634788,1
166059,634426,1
166290,634295,1
167030,633551,1
166483,633482,1
167695,633917,1
182804,652799,1
182185,652708,1
238283,759180,1
187914,660096,1
209063,750582,1
189358,666844,1
189372,666354,1
189650,665946,1
189907,666698,1
209087,750158,1
208782,750067,1
189288,666310,1
190166,666526,1
190837,666106,1
189094,666761,1
189681,664999,1
191511,665256,1
188865,666688,1
181048,669931,1
190997,669193,1
180682,661663,1
180391,662371,1
189763,665069,1
190327,665829,1
190064,665320,1
190217,667238,1
219454,632779,1
180500,663248,1
248333,743883,1
196622,746615,1
250585,744142,1
250094,744404,1
250929,743463,1
249055,744938,1
210072,745731,1
199334,744641,1
198970,745367,1
202303,744472,1
185292,570035,1
184023,574465,1
178697,662700,1
179150,662416,1
178347,662127,1
177875,661910,1
177084,660749,1
178353,660683,1
179038,663351,1
188611,666380,1
219072,632542,1
195732,657840,1
186946,664071,1
185504,663655,1
179746,651551,1
181827,652688,1
179962,661593,1
179408,651433,1
190283,652893,1
176321,626172,1
177911,664078,1
177864,664245,1
178872,660901,1
179538,662345,1
179004,662607,1
177290,654961,1
177527,656539,1
179149,660644,1
182659,643571,1
190142,674964,1
184357,663422,1
194461,651182,1
201845,743036,1
177970,658993,1
179005,658913,1
178815,658923,1
183004,642316,1
188837,664991,1
218505,629340,1
219905,632687,1
184910,671624,1
167843,637167,1
181851,661425,1
181959,661397,1
182150,661376,1
181223,661917,1
181351,661555,1
181763,645981,1
176530,658197,1
176769,657890,1
176376,656992,1
176805,656689,1
176931,657211,1
176515,657314,1
196890,691148,1
194616,691795,1
196582,745205,1
179908,651526,1
200200,644508,1
182234,662458,1
180907,662327,1
182485,657694,1
162005,618085,1
166504,627787,1
181167,665195,1
190005,666889,1
189899,667041,1
188500,667553,1
186694,667588,1
181428,668659,1
182387,669585,1
211509,633493,1
178930,658334,1
179901,658011,1
178162,656502,1
178520,658638,1
177888,657061,1
178449,659888,1
190705,671104,1
191047,664486,1
191981,676877,1
185235,657737,1
190568,659156,1
189873,659298,1
209992,745152,1
210128,746409,1
210940,746684,1
210996,746507,1
164502,619200,1
187394,665436,1
186661,666452,1
176206,655530,1
186491,662298,1
191888,665061,1
206075,746658,1
199554,746755,1
209932,744952,1
201275,745229,1
181447,656684,1
181172,657027,1
180986,657762,1
181371,657205,1
181593,656997,1
181236,665717,1
183666,656798,1
183836,656950,1
188447,666389,1
178159,656317,1
210094,746035,1
211086,746143,1
211028,747194,1
190202,672299,1
209625,745538,1
195783,651004,1
159389,612400,1
159312,619017,1
159008,619157,1
160739,615177,1
186916,666561,1
209861,744640,1
179498,658880,1
179252,658893,1
179518,659444,1
179224,658311,1
178961,658615,1
208774,745423,1
178152,658438,1
179187,657753,1
191198,677169,1
177916,657531,1
181840,658311,1
182011,657693,1
210022,745696,1
179521,657652,1
180427,658598,1
180442,657979,1
178847,657641,1
178991,658822,1
192078,654648,1
208305,712084,1
182523,651186,1
195198,672799,1
178748,659354,1
191246,661110,1
209103,763004,1
178048,659373,1
199171,743447,1
199006,743392,1
192723,673150,1
190222,673024,1
181287,663153,1
200662,646160,1
185920,663787,1
199387,747475,1
200840,745553,1
194358,655113,1
240979,742938,1
181286,662944,1
178956,662968,1
183815,667653,1
170227,637502,1
159943,618926,1
160578,618956,1
161564,618719,1
199294,743038,1
198803,745159,1
179568,665999,1
176473,655380,1
178640,654590,1
194411,719741,1
160225,614256,1
191637,671211,1
208034,749317,1
200862,645121,1
179175,649320,1
192174,667325,1
184410,664774,1
178007,655375,1
178335,653385,1
178983,653572,1
183943,663734,1
184372,663711,1
162505,603680,1
181015,647792,1
184472,662580,1
198779,748594,1
186034,667022,1
182407,665991,1
182655,666176,1
182288,665878,1
194230,691832,1
195879,644345,1
177795,658045,1
177919,658352,1
178088,659559,1
221700,629119,1
193327,674853,1
177379,658991,1
177285,658981,1
200917,645296,1
176399,659444,1
179189,647662,1
184842,644431,1
183363,663252,1
184335,664143,1
200565,645238,1
180732,647967,1
177811,656505,1
203786,744192,1
193190,674525,1
193222,674616,1
182290,661360,1
190835,675175,1
195097,672560,1
