x,y, numdogs 
175289.0949,591434.1056,51
194983.8805,656155.4612,2085
226981.8744,776605.7111,73
206295.2895,633812.4525,108
224568.2678,755368.3765,75
186760.553,695640.3095,87
233296.0712,759730.4161,25
173946.344,614167.1864,16
199743.9026,424020.7733,35
162695.3331,589541.1219,17
214180.2153,766540.5373,12
228272.1231,662232.9145,253
201953.607,647253.8967,127
223461.0237,750398.741,89
177987.8061,608104.4797,22
245456.2488,708686.1747,21
214152.2914,775690.5177,583
261960.152,785696.5892,137
201204.3725,588431.7242,74
209280.238,761738.2062,70
223411.8597,737611.6094,349
206639.3778,584908.4264,82
263514.8169,793978.8138,107
267460.9753,780075.0962,69
198513.9132,642031.0894,33
199950.2489,688394.6767,310
256950.916,732533.1774,68
210827.3154,736580.7186,140
202608.7152,669840.1047,623
183908.6522,680752.1156,184
173876.2659,623198.1985,132
241153.5407,761027.8384,43
216417.3184,745668.617,136
216102.2525,708862.632,127
193904.3916,602409.3011,104
243720.4734,737105.123,140
193870.7149,620536.8108,219
221419.534,729870.5892,138
162320.8026,590425.5298,19
229675.6011,776737.2711,42
170148.8635,631342.6176,210
166116.9473,586767.4016,51
164500.9471,587549.3242,54
223348.2452,759429.4112,61
241635.7827,658397.6561,60
177480.708,624750.0767,133
189539.8843,628489.6115,45
180489.6796,665757.436,37314
237768.6862,717896.2948,56
188110.0168,684357.8393,62
192480.4567,684407.1162,1459
228546.3109,729066.4172,182
258203.9596,734621.89,50
246872.8444,705367.6252,47
202989.1479,608048.412,23
145622.3068,570978.3821,42
198210.4051,705889.5469,158
139207.8687,567604.7526,65
177557.5262,629058.8081,204
163750.69,613861.3164,104
168975.6761,608187.7783,48
221403.7194,734234.0289,192
196715.0403,690384.3865,166
197600.4922,634373.3961,62
169260.0132,581663.8047,16
160092.0026,595610.5333,63
221818.1745,617856.6354,144
198418.1692,632307.074,78
