x,y, numdogs 
191662.9989,660944.6127,37
198827.3182,691989.1446,216
151665.5291,592697.8044,130
208073.01,761817.1502,157
273129.8703,789557.639,150
196671.0289,692314.3129,197
202076.8484,695244.964,123
164986.2495,582657.988,43
174546.9148,633807.4743,130
247094.5446,764837.2932,48
200721.7223,737465.1953,85
221031.4195,649824.0908,121
181484.2892,639151.5944,255
240865.6943,713675.987,74
204700.4326,660662.895,768
193266.2679,678680.5027,13
235733.5059,763305.0347,363
190168.6732,613367.1071,70
177525.8435,640567.3108,119
183680.172,656296.0917,560
162639.4345,592719.4709,38
193794.4794,695561.1364,152
256823.2959,790521.7135,201
213928.088,763952.2334,61
245339.9998,635094.413,18
241517.8852,717384.1907,168
211019.5359,734145.8914,11
215424.1148,632187.6927,249
254066.9752,732757.5142,106
211796.9519,642990.9084,55
187768.2525,698508.835,145
182271.4147,633313.9183,20
178543.2918,648784.8714,153
193285.5696,715000.0829,147
192479.2893,644002.6818,301
187378.5284,685230.46,230
251646.4699,718092.8575,37
187357.4614,698496.0667,103
189902.3423,693375.4245,383
218278.5186,737780.4635,148
203581.3527,633508.1554,48
195926.1167,653614.7108,318
188089.6537,617337.5469,107
212055.1202,634614.9232,108
178749.2632,647749.7013,170
191207.4576,642026.0762,128
167395.3011,627001.1899,357
193945.5264,655882.8009,114
177333.3769,595140.5866,94
237207.9946,736025.0314,75
231235.3897,743124.6588,30
247138.8652,711634.0844,783
199782.6636,624450.9704,2058
216940.0525,733480.2549,103
162923.9431,616312.3071,60
188040.8999,696791.3433,41
210802.9693,622871.3749,15
228116.4746,726203.1768,96
174369.5859,640486.6685,72
211912.7102,767682.1714,150
192721.6745,651052.7563,268
184664.9222,666370.5283,769
170964.758,636501.1934,29
190636.6484,685416.315,186
264891.2605,744943.4363,237
191994.7008,659037.4292,206
177411.3946,633029.8046,453
187904.107,680776.8358,278
180296.3723,630859.3463,75
176685.5214,639054.5729,177
195299.4524,713965.2371,1320
226047.7246,759334.0996,28
188809.1919,680072.9877,233
212921.4627,775055.4933,75
192970.3927,637423.7721,112
242840.4718,683363.7816,40
207008.9692,626280.4066,106
242250.3515,766982.3517,29
208401.0232,665195.683,21
166383.146,607432.6387,113
164983.0857,586666.9327,34
240937.7447,773659.4664,79
225151.8273,716541.3781,173
202995.9694,709033.3342,71
210353.9546,668281.7129,271
194993.1414,658041.4125,129
161742.0836,617250.0037,91
201472.4294,693309.2337,943
176423.4831,657968.8081,5459
